,importance,name
107,0.0,order_top4_aisle 76
105,0.0,order_top4_aisle 74
104,0.0,order_top4_aisle 73
103,0.0,order_top4_aisle 72
102,0.0,order_top4_aisle 71
101,0.0,order_top4_aisle 70
96,0.0,order_top4_aisle 65
95,0.0,order_top4_aisle 64
94,0.0,order_top4_aisle 63
93,0.0,order_top4_aisle 62
91,0.0,order_top4_aisle 60
89,0.0,order_top4_aisle 58
86,0.0,order_top4_aisle 55
